Title,URL,Location,Paid Status,Category,Urgency,Date & Time,Price,Host
Pawtrait 101: Take Better Pet Photos With Just Your Smartphone!,https://www.eventbrite.sg/e/pawtrait-101-take-better-pet-photos-with-just-your-smartphone-tickets-1326178418349?aff=ebdssbdestsearch,"Singapore, ",paid,hobbies,,Wednesday • 7:30 PM,From $30.44,Oxley BizHub 2
DSA Interview Skills Workshop  - 10 JUNE 2025,https://www.eventbrite.sg/e/dsa-interview-skills-workshop-10-june-2025-tickets-1015791679257?aff=ebdssbdestsearch,"Singapore, ",paid,family-and-education,,"Tue, Jun 10 •  9:00 AM",From $280.00,Discovering Potential Pte Ltd
DSA Interview Skills Workshop - 10 JUNE 2025,https://www.eventbrite.sg/e/dsa-interview-skills-workshop-10-june-2025-tickets-1015791679257?aff=ebdssbdestsearch,"Singapore, ",paid,family-and-education,,"Tue, Jun 10 • 9:00 AM",From $280.00,"Singapore Shopping Centre, 6th Floor (150m from Dhoby Ghaut MRT)"
SAFEHSE - SPECIAL PLACE (ACOUSTIC GUITAR CONCERT),https://www.eventbrite.com/e/safehse-special-place-acoustic-guitar-concert-tickets-1329964713259?aff=ebdssbdestsearch,"Singapore, ",paid,music,,"Sat, Jun 7 •  8:00 PM",From $30.00,FINGERSTYLE ACADEMY
One @ the Ballet - A Dancer’s Perspective,https://www.eventbrite.sg/e/one-the-ballet-a-dancers-perspective-tickets-1106846952029?aff=ebdssbdestsearch,"Singapore, ",paid,arts,,"Sat, Jun 14 •  1:00 PM",From $22.00,Singapore Ballet
(Pride Month Edition) Date My Friend: Comedy dating pitch show,https://www.eventbrite.sg/e/pride-month-edition-date-my-friend-comedy-dating-pitch-show-tickets-1330584226239?aff=ebdssbdestsearch,"Singapore, ",paid,arts,Going fast,"Tue, Jun 10 •  8:00 PM",From $27.31,PPTK.TV PowerPoint Karaoke Singapore
Mindfulness Foundation Course by May Chng - TP20250612MFC,https://www.eventbrite.sg/e/mindfulness-foundation-course-by-may-chng-tp20250612mfc-tickets-1319551196149?aff=ebdssbdestsearch,"Singapore, ",paid,health,Going fast,Brahm Centre @ Tampines,From $0.00,Brahm Centre 百仁中心
In Song '25,https://www.eventbrite.sg/e/in-song-25-tickets-1128484099319?aff=ebdssbdestsearch,"Singapore, ",paid,music,,"Sat, Jul 12 •  7:00 PM",From $24.00,Victoria Concert Hall
Writing for the Church: Called for Mission,https://www.eventbrite.sg/e/writing-for-the-church-called-for-mission-tickets-1336192621099?aff=ebdssbdestsearch,"Singapore, ",paid,spirituality,,"Mon, Jul 7 •  10:00 AM",From $79.06,Redemption Hill Church
MuSIScal by Strangers In-Sync,https://www.eventbrite.sg/e/musiscal-by-strangers-in-sync-tickets-1311542000429?aff=ebdssbdestsearch,"Singapore, ",paid,arts,Sales end soon,Sunday • 5:00 PM,From $27.31,Larks Improv Theatre
