Title,URL,Location,Paid Status,Category,Urgency,Date & Time,Price,Host
GROUNDING GONGS + TIBETAN BOWLS + FLUTE: ROOT CHAKRA,https://www.eventbrite.sg/e/grounding-gongs-tibetan-bowls-flute-root-chakra-tickets-812187794557?aff=ebdssbdestsearch,"Singapore, ",paid,health,,"Thu, Jun 12 •  6:30 PM  + 13 more",From $56.24,SPACE2B
From France with Franz,https://www.eventbrite.com.au/e/from-france-with-franz-tickets-1305130734159?aff=ebdssbdestsearch,"Singapore, ",paid,music,,"Mon, Jun 30 •  7:30 PM",From $19.96,Esplanade Recital Studio
Couple Workshop: The Art of Disagreement,https://www.eventbrite.sg/e/couple-workshop-the-art-of-disagreement-tickets-1043482904457?aff=ebdssbdestsearch,"Singapore, ",paid,family-and-education,,"Sun, Jul 6 •  9:30 AM",From $150.00,Ten Butter Fingers
CosGarden 2025,https://www.eventbrite.sg/e/cosgarden-2025-tickets-1260975344199?aff=ebdssbdestsearch,"Singapore, ",paid,community,,"Sun, Jun 15 •  12:00 PM",From $6.00,HortPark
CERT First Aider Course (CFAC) Registration of Interest for Run 402,https://www.eventbrite.sg/e/cert-first-aider-course-cfac-registration-of-interest-for-run-402-tickets-1091904047399?aff=ebdssbdestsearch,"Singapore, ",paid,other,,Thursday • 9:00 AM,From $0.00,CERT Consultancy Group Pte Ltd
Revitalising Morning Yoga,https://www.eventbrite.sg/e/revitalising-morning-yoga-tickets-1050319332397?aff=ebdssbdestsearch,"Singapore, ",paid,health,Sales end soon,Tomorrow • 8:30 AM + 3 more,From $10.00,Robin Liu - HappyRobin
4s Professional Holiday Outdoor Urban Landscape Sketching Holiday Bootcamp,https://www.eventbrite.sg/e/4s-professional-holiday-outdoor-urban-landscape-sketching-holiday-bootcamp-tickets-1238617581529?aff=ebdssbdestsearch,"Singapore, ",paid,travel-and-outdoor,Sales end soon,Monday • 11:00 AM + 229 more,From $252.57,Visual Arts Centre - above Dhoby Ghaut MRT exit B
My New Happy! Experiential Group Therapy,https://www.eventbrite.sg/e/my-new-happy-experiential-group-therapy-tickets-1302021735059?aff=ebdssbdestsearch,"Singapore, ",paid,health,,"Sun, Jun 8 •  2:00 PM  + 6 more",From $60.00,Youngberg Wellness Centre Pte Ltd
Data Science & Analytics meetup and chat Singapore,https://www.eventbrite.com.au/e/data-science-analytics-meetup-and-chat-singapore-tickets-1059279677029?aff=ebdssbdestsearch,"Singapore, Singapore",paid,science-and-tech,Sales end soon,Today • 8:00 PM + 29 more,From $6.61,IT Social Singapore
"IT Social Singapore | Data, Technology, Cybersecurity, IT",https://www.eventbrite.com.au/e/it-social-singapore-data-technology-cybersecurity-it-tickets-1059276818479?aff=ebdssbdestsearch,"Singapore, Singapore",paid,science-and-tech,Sales end soon,Today • 8:00 PM + 29 more,From $6.61,IT Social Singapore
Meet People Social Singapore | Cultural International Party,https://www.eventbrite.com.au/e/meet-people-social-singapore-cultural-international-party-tickets-1059279666999?aff=ebdssbdestsearch,"Singapore, Singapore",paid,community,Sales end soon,Today • 8:00 PM + 29 more,From $6.61,Meet People Social Singapore
"Singapore Language Exchange | Make Friends, Learn Languages & Culture",https://www.eventbrite.com.au/e/singapore-language-exchange-make-friends-learn-languages-culture-tickets-1059279697089?aff=ebdssbdestsearch,"Singapore, Singapore",paid,community,Sales end soon,Today • 8:00 PM + 29 more,From $6.61,Meet People Social Singapore
Young IT Professionals in Singapore Social,https://www.eventbrite.com.au/e/young-it-professionals-in-singapore-social-tickets-1059276698119?aff=ebdssbdestsearch,"Singapore, Singapore",paid,science-and-tech,Sales end soon,Today • 8:00 PM + 29 more,From $6.61,IT Social Singapore
From Complexity to Connectivity:  Bridging the Future of Hybrid Integration,https://www.eventbrite.sg/e/from-complexity-to-connectivity-bridging-the-future-of-hybrid-integration-tickets-1285387912849?aff=ebdssbdestsearch,"Singapore, ",paid,science-and-tech,Sales end soon,Tuesday • 8:00 AM,"From $1,033.61",OpenGov Asia
From Complexity to Connectivity: Bridging the Future of Hybrid Integration,https://www.eventbrite.sg/e/from-complexity-to-connectivity-bridging-the-future-of-hybrid-integration-tickets-1285387912849?aff=ebdssbdestsearch,"Singapore, ",paid,science-and-tech,Sales end soon,Tuesday • 8:00 AM,"From $1,033.61",Sheraton Towers Singapore
Mindfulness Based Cognitive Therapy by May & Chew Ping - SM20250704MBCT,https://www.eventbrite.sg/e/mindfulness-based-cognitive-therapy-by-may-chew-ping-sm20250704mbct-tickets-1319570102699?aff=ebdssbdestsearch,"Singapore, ",paid,health,,"Fri, Jul 4 •  7:00 PM",From $0.00,Brahm Centre 百仁中心
The Magic Bar  Show - Whispers of The Mind by Mentalist Nique Tan,https://www.eventbrite.sg/e/the-magic-bar-show-whispers-of-the-mind-by-mentalist-nique-tan-tickets-1261836931229?aff=ebdssbdestsearch,"Singapore, ",paid,arts,,Thursday • 7:45 PM + 17 more,From $51.00,Theatre of Wonder
The Magic Bar Show - Whispers of The Mind by Mentalist Nique Tan,https://www.eventbrite.sg/e/the-magic-bar-show-whispers-of-the-mind-by-mentalist-nique-tan-tickets-1261836931229?aff=ebdssbdestsearch,"Singapore, ",paid,arts,,Thursday • 7:45 PM + 17 more,From $51.00,"2 Havelock Rd, #01 11"
90% off -  Mastering The GROW model - A must have e-book for coaches,https://www.eventbrite.sg/e/90-off-mastering-the-grow-model-a-must-have-e-book-for-coaches-tickets-1094329722659?aff=ebdssbdestsearch,"Singapore, ",paid,business,Going fast,"Tue, Jul 1 •  10:00 AM",From $5.00,International Alliance Certification Network
90% off - Mastering The GROW model - A must have e-book for coaches,https://www.eventbrite.sg/e/90-off-mastering-the-grow-model-a-must-have-e-book-for-coaches-tickets-1094329722659?aff=ebdssbdestsearch,"Singapore, ",paid,business,Going fast,"Tue, Jul 1 • 10:00 AM",From $5.00,Shaw Centre
Parent and Children Art Therapy Session,https://www.eventbrite.sg/e/parent-and-children-art-therapy-session-tickets-1000649247837?aff=ebdssbdestsearch,"Singapore, ",paid,health,Sales end soon,Tomorrow • 10:30 AM + 13 more,From $189.70,Visual Arts Centre - above Dhoby Ghaut MRT exit B
Design Your Future Town! Arkki Signature 2-Day Architecture Camp,https://www.eventbrite.sg/e/design-your-future-town-arkki-signature-2-day-architecture-camp-tickets-1316199099939?aff=ebdssbdestsearch,"Singapore, ",paid,family-and-education,Sales end soon,Thursday • 9:00 AM,From $230.00,Arkki Singapore
Confrérie de la Tartiflette - June Dinner,https://www.eventbrite.sg/e/confrerie-de-la-tartiflette-june-dinner-tickets-1238511183289?aff=ebdssbdestsearch,"Singapore, ",paid,food-and-drink,,"Sat, Jun 28 •  7:00 PM",From $69.22,Atout
MINDSHIFT: 5 day Youth Innovation Camp,https://www.eventbrite.fi/e/mindshift-5-day-youth-innovation-camp-tickets-1304978087589?aff=ebdssbdestsearch,"Singapore, ",paid,family-and-education,,"Mon, Jun 9 •  9:00 AM  + 1 more",From $550.00,Singapore
Ministry Matters 2025,https://www.eventbrite.sg/e/ministry-matters-2025-tickets-1329535369079?aff=ebdssbdestsearch,"Singapore, ",paid,spirituality,,"Sat, Jul 19 •  9:00 AM",From $18.75,Project Timothy
Not about Sex or Sorcery,https://www.eventbrite.sg/e/not-about-sex-or-sorcery-tickets-1333027173159?aff=ebdssbdestsearch,"Singapore, ",paid,other,,Today • 7:00 PM,,Humanist Society (Singapore)
“Watercolour Painting Demystified” 8-Week Basic Watercolour Workshop,https://www.eventbrite.sg/e/watercolour-painting-demystified-8-week-basic-watercolour-workshop-registration-1249874802179?aff=ebdssbdestsearch,"Singapore, ",paid,arts,Going fast,"Sat, Jul 5 •  9:30 AM",From $881.25,Art Workshops By Leach
Connect-Tac-Toe: Session #4,https://www.eventbrite.sg/e/connect-tac-toe-session-4-tickets-1270300887149?aff=ebdssbdestsearch,"Singapore, ",paid,business,,No Horse Run Cafe AMK,From $20.50,Groove The Move
Speed Dating @ Cat Cafe,https://www.eventbrite.sg/e/speed-dating-cat-cafe-tickets-1347362751259?aff=ebdssbdestsearch,"Singapore, ",paid,community,Sales end soon,Tomorrow • 6:00 PM,From $33.59,iDatings
PURE SHORES – GONGS + OCEAN DRUM SOUND MEDITATION,https://www.eventbrite.sg/e/pure-shores-gongs-ocean-drum-sound-meditation-tickets-812191004157?aff=ebdssbdestsearch,"Singapore, ",paid,health,Sales end soon,Sunday • 12:00 PM + 30 more,From $56.24,SPACE2B
CHAKRA HARMONY: A SOUND JOURNEY FOR WELL-BEING AND BALANCE,https://www.eventbrite.sg/e/chakra-harmony-a-sound-journey-for-well-being-and-balance-tickets-1080173962399?aff=ebdssbdestsearch,"Singapore, ",paid,spirituality,Sales end soon,Tomorrow • 2:00 PM + 30 more,From $56.24,SPACE2B
SELF-LOVE AND GRATITUDE SOUND BATH,https://www.eventbrite.sg/e/self-love-and-gratitude-sound-bath-tickets-1080177161969?aff=ebdssbdestsearch,"Singapore, ",paid,spirituality,Sales end soon,Tomorrow • 3:30 PM + 30 more,From $56.24,SPACE2B
INDULGE IN REST: CRYSTAL BOWLS + CHIMES SOUND HEALING,https://www.eventbrite.sg/e/indulge-in-rest-crystal-bowls-chimes-sound-healing-tickets-1080178596259?aff=ebdssbdestsearch,"Singapore, ",paid,spirituality,Sales end soon,Tomorrow • 5:00 PM + 30 more,From $56.24,SPACE2B
SATURDAY NIGHT HEART CAMP,https://www.eventbrite.sg/e/saturday-night-heart-camp-tickets-1080218485569?aff=ebdssbdestsearch,"Singapore, ",paid,health,Sales end soon,Tomorrow • 7:00 PM + 15 more,From $101.73,SPACE2B
Kundalini Yoga & Gong Healing,https://www.eventbrite.sg/e/kundalini-yoga-gong-healing-tickets-1124079775869?aff=ebdssbdestsearch,"Singapore, Singapore",paid,health,,"Sat, Jun 7 •  8:00 AM  + 27 more",From $53.49,Shirley Tay
WSET LEVEL 1 WINE COURSE SINGAPORE (English),https://www.eventbrite.sg/e/wset-level-1-wine-course-singapore-english-tickets-1128722853439?aff=ebdssbdestsearch,"Singapore, ",paid,food-and-drink,Sales end soon,Tomorrow • 10:30 AM + 35 more,,Fine Wines SG
DOUBLE FANTASY – CRYSTAL BOWLS + RAV VAST SOUND MEDITATION,https://www.eventbrite.sg/e/double-fantasy-crystal-bowls-rav-vast-sound-meditation-tickets-812196249847?aff=ebdssbdestsearch,"Singapore, ",paid,health,Sales end soon,Sunday • 2:00 PM + 30 more,From $56.24,SPACE2B
FEEL SO HIGH – CRYSTAL BOWLS + MONOLINI SOUND MEDITATION,https://www.eventbrite.sg/e/feel-so-high-crystal-bowls-monolini-sound-meditation-tickets-812198075307?aff=ebdssbdestsearch,"Singapore, ",paid,health,Sales end soon,Sunday • 3:30 PM + 30 more,From $56.24,SPACE2B
Punch Needle,https://www.eventbrite.sg/e/punch-needle-tickets-1023038394377?aff=ebdssbdestsearch,"Singapore, ",paid,hobbies,Sales end soon,Monday • 10:00 AM + 192 more,From $27.31,Crafty Summer
Upcycled Accessory,https://www.eventbrite.sg/e/upcycled-accessory-tickets-1023036619067?aff=ebdssbdestsearch,"Singapore, ",paid,hobbies,Sales end soon,Monday • 10:00 AM + 209 more,From $27.31,Crafty Summer
Sanrio-themed Decoden Cream Workshop,https://www.eventbrite.sg/e/sanrio-themed-decoden-cream-workshop-tickets-1023034332227?aff=ebdssbdestsearch,"Singapore, ",paid,hobbies,Sales end soon,Monday • 10:00 AM + 209 more,From $27.31,Crafty Summer
Macrame Strap,https://www.eventbrite.sg/e/macrame-strap-tickets-1023030751517?aff=ebdssbdestsearch,"Singapore, ",paid,hobbies,Sales end soon,Tomorrow • 12:00 PM + 227 more,From $16.82,Crafty Summer
Chunky Knit Bag,https://www.eventbrite.sg/e/chunky-knit-bag-tickets-1022751927547?aff=ebdssbdestsearch,"Singapore, ",paid,hobbies,Sales end soon,Tomorrow • 12:00 PM + 211 more,From $32.54,Crafty Summer
Youth Xperience: Guided Bouldering 3 Lessons (12 - 18Yrs Old)-OS20250604GB,https://www.eventbrite.sg/e/youth-xperience-guided-bouldering-3-lessons-12-18yrs-old-os20250604gb-tickets-1343535182899?aff=ebdssbdestsearch,"Singapore, ",paid,holiday,Sales end soon,Wednesday • 2:00 PM,From $36.00,Brahm Centre 百仁中心
Kids Innovation Camp: Design That Sticks,https://www.eventbrite.com/e/kids-innovation-camp-design-that-sticks-tickets-1354490510579?aff=ebdssbdestsearch,"Singapore, ",paid,hobbies,,"Tue, Jun 10 •  1:00 PM",From $170.84,Citysprouts
WSQ Respond to Fire Incident in Workplace (PI-CP-104E-1) Run 427,https://www.eventbrite.sg/e/wsq-respond-to-fire-incident-in-workplace-pi-cp-104e-1-run-427-tickets-1081555133519?aff=ebdssbdestsearch,"Singapore, ",paid,other,,"Wed, Jul 16 •  9:00 AM",From $0.00,CERT Consultancy Group Pte Ltd
Tuning Forks Mastery Training Course,https://www.eventbrite.sg/e/tuning-forks-mastery-training-course-tickets-811242296547?aff=ebdssbdestsearch,"Singapore, ",paid,health,Sales end soon,Wednesday • 1:00 PM + 13 more,From $354.46,SPACE2B
Open My Factory: SingPost Mail Processing Centre,https://www.eventbrite.sg/e/open-my-factory-singpost-mail-processing-centre-tickets-1243057381089?aff=ebdssbdestsearch,"Singapore, ",paid,community,,"Fri, Jun 20 •  7:00 PM",From $22.05,My Community
Sanctuary of Healing Sound,https://www.eventbrite.sg/e/sanctuary-of-healing-sound-tickets-1343481763119?aff=ebdssbdestsearch,"Singapore, ",paid,health,,Thursday • 7:00 PM + 3 more,From $29.00,73A Geylang Rd
The Magic Bar Show- A Night at The Magic Bar by Illusionist Alexander Y,https://www.eventbrite.sg/e/the-magic-bar-show-a-night-at-the-magic-bar-by-illusionist-alexander-y-tickets-918606856837?aff=ebdssbdestsearch,"Singapore, ",paid,arts,Sales end soon,Tomorrow • 5:00 PM + 20 more,From $98.50,Theatre of Wonder
The Enneagram Heart-Centred Prescription,https://www.eventbrite.sg/e/the-enneagram-heart-centred-prescription-tickets-1338175140869?aff=ebdssbdestsearch,"Singapore, Singapore",paid,spirituality,,Relationship Studio x The Enneagram Academy,From $6.34,ARC 380
World Opportunities Forum 2025,https://www.eventbrite.sg/e/world-opportunities-forum-2025-tickets-1309451427469?aff=ebdssbdestsearch,"Singapore, singapore",paid,,,"Wed, Jul 9 •  9:00 AM",From $188.00,World Opportunities Forum 2024
[04 & 05 Jun 2025] People Performance Management for New Managers 3.0,https://www.eventbrite.sg/e/04-05-jun-2025-people-performance-management-for-new-managers-30-tickets-1124315811859?aff=ebdssbdestsearch,"Singapore, ",paid,business,Sales end soon,Wednesday • 9:00 AM,From $524.16,Aventis Learning Group
Much Ado About Nothing by William Shakespeare | 2025 Theatre Play,https://www.eventbrite.sg/e/much-ado-about-nothing-by-william-shakespeare-2025-theatre-play-tickets-1303482273569?aff=ebdssbdestsearch,"Singapore, Singapore",paid,arts,,"Thu, Jun 12 •  7:30 PM  + 11 more",From $37.42,The Winter Players
Kumar's Stand-Up Comedy Live!,https://www.eventbrite.sg/e/kumars-stand-up-comedy-live-tickets-1322690024469?aff=ebdssbdestsearch,"Singapore, ",paid,arts,,Chameleon Global Events Pte Ltd,From $57.58,Crystal Fairy
CONVENE 清雅集 Episode 5 - Raga 拉格,https://www.eventbrite.sg/e/convene-episode-5-raga-tickets-1311251180579?aff=ebdssbdestsearch,"Singapore, Singapore",paid,arts,Just added,"Fri, Jun 13 •  7:30 PM",From $22.05,RuanAtWorkz Musical Art 䪭樂房
Floating New Moon GONG BATH – Stargates of Intention,https://www.eventbrite.sg/e/floating-new-moon-gong-bath-stargates-of-intention-tickets-1315287152279?aff=ebdssbdestsearch,"Singapore, ",paid,health,,Today • 7:45 PM,,Wenyogaheal
Design a Home: 3-day Camp (Jun),https://www.eventbrite.sg/e/design-a-home-3-day-camp-jun-tickets-1307752546069?aff=ebdssbdestsearch,"Singapore, ",paid,family-and-education,,Monday • 9:30 AM,From $485.00,DesignTinkers Pte Ltd
Chibi Styled Creatures with Procreate(Ages 7-17)CNP Holiday Camp @ NewBahru,https://www.eventbrite.sg/e/chibi-styled-creatures-with-procreateages-7-17cnp-holiday-camp-newbahru-tickets-1352290420049?aff=ebdssbdestsearch,"Singapore, ",paid,hobbies,Sales end soon,Monday • 9:00 AM,From $196.56,Chalk N Pencils
Build a TreeHouse: 1-day Camp* (Jun),https://www.eventbrite.sg/e/build-a-treehouse-1-day-camp-jun-tickets-1311280498269?aff=ebdssbdestsearch,"Singapore, Singapore",paid,family-and-education,Sales end soon,"Fri, Jun 6 •  9:30 AM",From $165.00,DesignTinkers Pte Ltd
NSA - Portrait Drawing (Level 1),https://www.eventbrite.sg/e/nsa-portrait-drawing-level-1-tickets-1311420326499?aff=ebdssbdestsearch,"Singapore, ",paid,arts,,Family Central,,Check ticket price on event
Design an Ice Cream Truck + Branding: 2-day Camp* (Jun),https://www.eventbrite.sg/e/design-an-ice-cream-truck-branding-2-day-camp-jun-tickets-1311283577479?aff=ebdssbdestsearch,"Singapore, Singapore",paid,family-and-education,Sales end soon,Wednesday • 9:30 AM,From $320.00,DesignTinkers Pte Ltd
Design a Cafe: 2-day Camp*,https://www.eventbrite.sg/e/design-a-cafe-2-day-camp-tickets-1326236642499?aff=ebdssbdestsearch,"Singapore, ",paid,family-and-education,Sales end soon,Thursday • 9:30 AM,From $320.00,DesignTinkers Pte Ltd
Design a Home: 3-day Camp* (Jun),https://www.eventbrite.sg/e/design-a-home-3-day-camp-jun-tickets-1311277449149?aff=ebdssbdestsearch,"Singapore, ",paid,family-and-education,,"Mon, Jun 9 •  9:30 AM",From $485.00,DesignTinkers Pte Ltd
Sound Bath featuring Mixed Quartz Crystal Singing Bowls,https://www.eventbrite.com/e/sound-bath-featuring-mixed-quartz-crystal-singing-bowls-tickets-1352997183999?aff=ebdssbdestsearch,"Singapore, ",paid,health,Sales end soon,"Groove Studio (Pole Dance | Aerial Silk, Hoop, Hammock | Yoga | Flexibility & Strength | Chair/Heels Dance | Studio Rental)",From $21.90,Brian Singing Bowls
Children Workshop: Grand Hotel of Feelings,https://www.eventbrite.sg/e/children-workshop-grand-hotel-of-feelings-tickets-1316011599119?aff=ebdssbdestsearch,"Singapore, ",paid,health,Sales end soon,Monday • 9:30 AM,From $90.00,Holding Ground (Psychology Practice)
Music Adventure Camp for 7-16 y.o.(Tampines Plaza2),https://www.eventbrite.sg/e/music-adventure-camp-for-7-16-yotampines-plaza2-tickets-1351367018129?aff=ebdssbdestsearch,"Singapore, ",paid,music,Sales end soon,5 Tampines Central 1,From $488.00,Believer Music
Music Adventure Camp for 7-16 y.o.(Novena Square),https://www.eventbrite.sg/e/music-adventure-camp-for-7-16-yonovena-square-tickets-1351369345089?aff=ebdssbdestsearch,"Singapore, ",paid,music,Sales end soon,Monday • 10:00 AM,From $488.00,Believer Music
Music Adventure Camp for 7-16 y.o.(International Plaza),https://www.eventbrite.sg/e/music-adventure-camp-for-7-16-yointernational-plaza-tickets-1351368713199?aff=ebdssbdestsearch,"Singapore, Singapore",paid,music,Sales end soon,Monday • 10:00 AM,From $488.00,Believer Music
Capybara Charm Making (Ages 7-17) CNP Holiday Camp @ New Bahru,https://www.eventbrite.sg/e/capybara-charm-making-ages-7-17-cnp-holiday-camp-new-bahru-tickets-1353263821519?aff=ebdssbdestsearch,"Singapore, ",paid,hobbies,Sales end soon,Tuesday • 9:00 AM,From $196.56,Chalk N Pencils
Outdoor Painting Changi Airport (Ages 7-17)CNP Art Camp @ NewBahru,https://www.eventbrite.sg/e/outdoor-painting-changi-airport-ages-7-17cnp-art-camp-newbahru-tickets-1353276479379?aff=ebdssbdestsearch,"Singapore, ",paid,arts,,"Wed, Jun 11 •  9:00 AM",From $196.56,Chalk N Pencils
1-on-1  Life Consultation,https://www.eventbrite.sg/e/1-on-1-life-consultation-tickets-1266498905319?aff=ebdssbdestsearch,"Singapore, ",paid,business,,,From $88.08,Life & Career Consultancy Services
1-on-1 Life Consultation,https://www.eventbrite.sg/e/1-on-1-life-consultation-tickets-1266498905319?aff=ebdssbdestsearch,"Singapore, ",paid,business,,,From $88.08,"Starbucks @ Lazada One (Bencoolen MRT, 5 mins walk)"
FRIDAY DISTORT NIGHT II,https://www.eventbrite.com/e/friday-distort-night-ii-tickets-1351463496699?aff=ebdssbdestsearch,"Singapore, ",paid,music,,Today • 7:00 PM,From $16.82,Hardcore Humour
Learn To Play -Checkers and Carrom,https://www.eventbrite.sg/e/learn-to-play-checkers-and-carrom-tickets-1352376176549?aff=ebdssbdestsearch,"Singapore, ",paid,hobbies,Sales end soon,Tomorrow • 10:00 AM + 8 more,,Check ticket price on event
Outdoor Painting Shophouses (Ages 7-17)CNP Art Camp @ NewBahru,https://www.eventbrite.sg/e/outdoor-painting-shophouses-ages-7-17cnp-art-camp-newbahru-tickets-1353267402229?aff=ebdssbdestsearch,"Singapore, ",paid,arts,Sales end soon,Wednesday • 9:00 AM,From $196.56,Chalk N Pencils
Bloom & Be: An Empowering Workshop for Girls Aged 8 to 12,https://www.eventbrite.sg/e/bloom-be-an-empowering-workshop-for-girls-aged-8-to-12-tickets-1309537113759?aff=ebdssbdestsearch,"Singapore, ",paid,family-and-education,Sales end soon,Wednesday • 9:30 AM,From $189.70,Holding Ground (Psychology Practice)
Taylor Swift (Silk Screen & Fan Art)(Ages 7-17)CNP Holiday Camp @ New Bahru,https://www.eventbrite.sg/e/taylor-swift-silk-screen-fan-artages-7-17cnp-holiday-camp-new-bahru-tickets-1353269488469?aff=ebdssbdestsearch,"Singapore, ",paid,arts,,"Fri, Jun 6 •  9:00 AM",From $196.56,Chalk N Pencils
Van Gogh Inspired Large Canvas Painting (Ages 7-17)CNP Art Camp @ NewBahru,https://www.eventbrite.sg/e/van-gogh-inspired-large-canvas-painting-ages-7-17cnp-art-camp-newbahru-tickets-1352308744859?aff=ebdssbdestsearch,"Singapore, ",paid,arts,,Thursday • 9:00 AM,From $196.56,Chalk N Pencils
First Aid For Families - Central - City Hall,https://www.eventbrite.sg/e/first-aid-for-families-central-city-hall-tickets-1251554686759?aff=ebdssbdestsearch,"Singapore, ",paid,health,Sales end soon,Tomorrow • 9:00 AM,From $168.75,First Aid Tuition
Corporate Valuation: Techniques & Applications,https://www.eventbrite.sg/e/corporate-valuation-techniques-applications-tickets-1054615716999?aff=ebdssbdestsearch,"Singapore, ",paid,business,,"Mon, Jun 9 •  9:00 AM","From $2,773.63",Riverstone Training Pte Ltd
1-on-1   Tarots Consultation,https://www.eventbrite.sg/e/1-on-1-tarots-consultation-tickets-1073103805369?aff=ebdssbdestsearch,"Singapore, ",paid,health,,,From $88.08,Life Revelation & Consultancy Services
1-on-1 Tarots Consultation,https://www.eventbrite.sg/e/1-on-1-tarots-consultation-tickets-1073103805369?aff=ebdssbdestsearch,"Singapore, ",paid,health,,,From $88.08,Starbucks @ Lazada One (Bencoolen /Bras Basah MRT)
Honeycomb Cake & Kuih Bahulu,https://www.eventbrite.sg/e/honeycomb-cake-kuih-bahulu-tickets-1310053438099?aff=ebdssbdestsearch,"Singapore, ",paid,food-and-drink,,"Sun, Jun 8 •  2:00 PM",From $189.70,The Vanilla Bean SG
1-on-1   Tarots Consultation - Weekends,https://www.eventbrite.sg/e/1-on-1-tarots-consultation-weekends-tickets-612981713807?aff=ebdssbdestsearch,"Singapore, ",paid,health,,,From $88.08,Life Revelation & Consultancy Services
1-on-1 Tarots Consultation - Weekends,https://www.eventbrite.sg/e/1-on-1-tarots-consultation-weekends-tickets-612981713807?aff=ebdssbdestsearch,"Singapore, ",paid,health,,,From $88.08,"Starbucks @ Lazada One (Bencoolen MRT, 5 mins walk)"
1 on 1 Relationship Consultation,https://www.eventbrite.sg/e/1-on-1-relationship-consultation-tickets-1309491366929?aff=ebdssbdestsearch,"Singapore, ",paid,business,,,From $88.08,Life & Career Consultancy Services
1-on-1 Career Consultation,https://www.eventbrite.sg/e/1-on-1-career-consultation-tickets-1309494085059?aff=ebdssbdestsearch,"Singapore, ",paid,business,,,From $88.08,Life & Career Consultancy Services
[Returning] Python Problem Solving,https://www.eventbrite.sg/e/returning-python-problem-solving-tickets-1252690333509?aff=ebdssbdestsearch,"Singapore, ",paid,science-and-tech,Sales end soon,Monday • 9:30 AM + 9 more,From $570.00,LCCL Coding Academy
Python Quick Dive for Teens (Python Level 1),https://www.eventbrite.sg/e/python-quick-dive-for-teens-python-level-1-tickets-1252683653529?aff=ebdssbdestsearch,"Singapore, ",paid,science-and-tech,Sales end soon,Monday • 9:30 AM + 9 more,From $570.00,LCCL Coding Academy
Basic Excel Training,https://www.eventbrite.sg/e/basic-excel-training-tickets-1048515306507?aff=ebdssbdestsearch,"Singapore, ",paid,business,Sales end soon,Monday • 9:00 AM,"From $2,054.56",Riverstone Training Pte Ltd
Phoenix Network: A Support Circle for Career Transitions,https://www.eventbrite.sg/e/phoenix-network-a-support-circle-for-career-transitions-tickets-1352149408279?aff=ebdssbdestsearch,"Singapore, ",paid,business,,"Thu, Jun 12 •  2:00 PM",From $15.00,Career Space Consulting
Private Equity Masterclass,https://www.eventbrite.sg/e/private-equity-masterclass-tickets-1056369683159?aff=ebdssbdestsearch,"Singapore, ",paid,business,,"Wed, Jun 11 •  9:00 AM","From $2,773.63",Riverstone Training Pte Ltd
Death Meditation - An Evening of De-attachment and Letting-go,https://www.eventbrite.sg/e/death-meditation-an-evening-of-de-attachment-and-letting-go-tickets-812069129627?aff=ebdssbdestsearch,"Singapore, ",paid,health,,Today • 7:00 PM + 8 more,From $101.73,SPACE2B
Revive & Thrive: Yoga for Rejuvenation and Energy Boost,https://www.eventbrite.sg/e/revive-thrive-yoga-for-rejuvenation-and-energy-boost-tickets-1333612624259?aff=ebdssbdestsearch,"Singapore, ",paid,health,Sales end soon,Tuesday • 9:30 AM + 5 more,From $19.00,East West Yoga
Lunar Resonance: Therapeutic Fullmoon Sound Healing (Online),https://www.eventbrite.sg/e/lunar-resonance-therapeutic-fullmoon-sound-healing-online-tickets-1129982069789?aff=ebdssbdestsearch,"Singapore, Singapore",paid,health,,"Wed, Jun 11 •  7:30 PM  + 6 more",From $54.00,The Sirius Sound
Japanese Focused Hatha Intensive with Ken Harakuma in Singapore,https://www.eventbrite.sg/e/japanese-focused-hatha-intensive-with-ken-harakuma-in-singapore-tickets-1336460281679?aff=ebdssbdestsearch,"Singapore, ",paid,health,Sales end soon,"Wed, Jun 11 •  7:00 PM",From $61.87,52A Pagoda St
"TURBO DATING #07 | Bracelets, Beats, & Connections",https://www.eventbrite.sg/e/turbo-dating-07-bracelets-beats-connections-tickets-1305756876969?aff=ebdssbdestsearch,"Singapore, Singapore",paid,business,Sales end soon,Tuesday • 7:00 PM,From $8.45,BK HAN
Candy Mountain Sounds Tibetan Singing Bowl Sound Healing,https://www.eventbrite.sg/e/candy-mountain-sounds-tibetan-singing-bowl-sound-healing-tickets-1339535991209?aff=ebdssbdestsearch,"Singapore, ",paid,health,,"23 Kampong Bahru Rd, #04 03",From $58.73,Candy Mountain Crystals
Content creator made easy: 101 for starters,https://www.eventbrite.sg/e/content-creator-made-easy-101-for-starters-tickets-1354471704329?aff=ebdssbdestsearch,"Singapore, ",paid,film-and-media,,"Sat, Jun 14 •  1:00 PM  + 2 more",From $158.27,SOMETHING STRANGE FESTIVAL (SSF)
PORTALS : Miniature Doors Between Worlds,https://www.eventbrite.sg/e/portals-miniature-doors-between-worlds-tickets-1353884006509?aff=ebdssbdestsearch,"Singapore, ",paid,arts,,"Sat, Jun 14 •  10:00 AM  + 2 more",From $105.88,SOMETHING STRANGE FESTIVAL (SSF)
